Date,Open,High,Low,Close,Adj Close
4/1/2020,18686.11914,20365.89063,17646.5,20193.68945,20193.68945
5/1/2020,19991.9707,21955.43945,19448.92969,21877.89063,21877.89063
6/1/2020,21910.89063,23185.84961,21529.83008,22288.14063,22288.14063
7/1/2020,22338.30078,22965.56055,21710,21710,21710
8/1/2020,21947.58008,23431.03906,21919.83008,23139.75977,23139.75977
9/1/2020,23089.63086,23622.74023,22878.71094,23185.11914,23185.11914
10/1/2020,23184.92969,23725.58008,22948.4707,22977.13086,22977.13086
11/1/2020,23110.74023,26834.19922,23096.78906,26433.61914,26433.61914
12/1/2020,26624.19922,27602.51953,26327.08008,27444.16992,27444.16992
1/1/2021,27575.57031,28979.5293,27002.17969,27663.39063,27663.39063
2/1/2021,27649.07031,30714.51953,27649.07031,28966.00977,28966.00977
3/1/2021,29419.44922,30485,28308.57031,29178.80078,29178.80078
4/1/2021,29441.91016,30208.89063,28419.83984,28812.63086,28812.63086
5/1/2021,29024.00977,29685.41016,27385.0293,28860.08008,28860.08008
6/1/2021,28998.65039,29480.84961,27795.85938,28791.5293,28791.5293
